location,km,annee,marque,model,date,price,carburant,puissance,boite,cylindre,region,city
"Bizerte, Autres villes",122000.0,2011.0,Renault,Megane,13 mars 2021,29800.0,Essence,7.0,Avec kilométrage,Manuelle,Bizerte,Autres villes
"Monastir, Ksar Hellal",190.0,2010.0,Citroen,C3 Picasso,22 février 2021,24500.0,Essence,6.0,Noir,Berline,Monastir,Ksar Hellal
"La manouba, Autres villes",354.0,2002.0,Opel,Astra,12 mars 2021,18500.0,Essence,5.0,Gris,Berline,La manouba,Autres villes
"Tunis, Autres villes",185000.0,2009.0,Peugeot,207,8 mars 2021,22500.0,Essence,6.0,Gris,Berline,Tunis,Autres villes
"Monastir, Jemmal",250.0,1994.0,Peugeot,106,6 février 2021,8500.0,Diesel,4.0,Bleu,Berline,Monastir,Jemmal
"Ben arous, Medina Jedida",170200.0,2011.0,Seat,Ibiza,13 mars 2021,22000.0,Essence,5.0,Rouge,Avec kilométrage,Ben arous,Medina Jedida
"Tunis, Autres villes",96000.0,2017.0,Citroen,C3,10 février 2021,35600.0,Essence,4.0,Blanc,Berline,Tunis,Autres villes
"Monastir, Jemmal",130000.0,1980.0,Mercedes-Benz,190,26 février 2021,5800.0,Diesel,2020.0,Blanc,Berline,Monastir,Jemmal
"Tunis, Tunis",157000.0,2009.0,Peugeot,308,2 mars 2021,26000.0,Essence,1.0,Noir,Compacte,Tunis,Tunis
"Tunis, Tunis",280.0,2006.0,Ford,Focus,9 mars 2021,18700.0,Essence,6.0,Gris,Berline,Tunis,Tunis
"Tunis, Autres villes",113000.0,2015.0,Ford,Focus,26 février 2021,43000.0,Essence,6.0,Gris,Berline,Tunis,Autres villes
"Jendouba, Bou Salem",119000.0,2014.0,Citroen,C-Elysee,1 mars 2021,21000.0,Essence,5.0,Blanc,Berline,Jendouba,Bou Salem
"Tunis, Autres villes",70000.0,2016.0,Fiat,Doblo,11 mars 2021,16000.0,Diesel,7.0,Blanc,Avec kilométrage,Tunis,Autres villes
"Tunis, La Marsa",188000.0,2005.0,Renault,Megane,10 mars 2021,17800.0,Essence,6.0,Noir,Compacte,Tunis,La Marsa
"Sfax, Route Soukra",74000.0,2016.0,Fiat,500,7 février 2021,26800.0,Diesel,5.0,Blanc,Automatique,Sfax,Route Soukra
"Tunis, Autres villes",90000.0,2017.0,Chevrolet,Cruze,3 mars 2021,32500.0,Essence,7.0,Gris,Berline,Tunis,Autres villes
"Ben arous, Autres villes",200.0,2001.0,Citroen,C15,1 mars 2021,5600.0,Diesel,7.0,Blanc,Autres,Ben arous,Autres villes
"Sousse, Sousse Sidi Abdelhamid",182000.0,2011.0,BMW,Serie 1,10 mars 2021,45000.0,Essence,7.0,Blanc,Compacte,Sousse,Sousse Sidi Abdelhamid
"Tunis, Autres villes",200000.0,2016.0,Ssangyong,Actyon,5 mars 2021,43500.0,Diesel,7.0,Gris,Pick up,Tunis,Autres villes
"Tunis, Cité Olympique",183000.0,1996.0,Renault,Clio,2 mars 2021,10000.0,Essence,5.0,Rouge,Compacte,Tunis,Cité Olympique
"Tunis, Autres villes",160000.0,2011.0,Volkswagen,Polo,13 mars 2021,24700.0,Essence,4.0,Manuelle,1.2,Tunis,Autres villes
"Tunis, Autres villes",90000.0,2011.0,Peugeot,206,13 mars 2021,23000.0,Essence,5.0,Gris,Compacte,Tunis,Autres villes
"Sfax, Route Tunis",166000.0,2006.0,Renault,Megane,10 février 2021,22800.0,Essence,7.0,Gris,Compacte,Sfax,Route Tunis
"Monastir, Monastir",168000.0,2009.0,Fiat,Grande Punto,13 mars 2021,22000.0,Essence,5.0,Marron,Compacte,Monastir,Monastir
"Ariana, Ennasr",255000.0,2004.0,Peugeot,206,13 mars 2021,14500.0,Essence,4.0,Noir,Compacte,Ariana,Ennasr
"Tunis, Autres villes",104.0,2014.0,Mitsubishi,Canter,23 février 2021,23000.0,Essence,4.0,Bleu,Compacte,Tunis,Autres villes
"Sousse, Sousse Riadh",195000.0,2006.0,Renault,Clio,26 février 2021,21000.0,Diesel,4.0,Autre,Compacte,Sousse,Sousse Riadh
"Ariana, Autres villes",400.0,1999.0,Peugeot,106,23 février 2021,11500.0,Essence,4.0,Gris,Avec kilométrage,Ariana,Autres villes
"Ariana, Autres villes",180000.0,2016.0,Citroen,Jumpy,10 mars 2021,42000.0,Diesel,5.0,Blanc,Manuelle,Ariana,Autres villes
"Sfax, Autres villes",1111.0,1991.0,Citroen,AX,28 février 2021,6500.0,Essence,4.0,Blanc,Utilitaire,Sfax,Autres villes
"Tunis, Sidi Bou Said",67000.0,2018.0,Hyundai,Grand i10,3 mars 2021,34300.0,Essence,5.0,Blanc,Compacte,Tunis,Sidi Bou Said
"Tunis, Autres villes",20000.0,2000.0,Peugeot,306,15 février 2021,11500.0,Diesel,6.0,Jaune,Berline,Tunis,Autres villes
"Tunis, Médina",108.0,2015.0,Seat,Ibiza,7 mars 2021,28500.0,Essence,5.0,Noir,Compacte,Tunis,Médina
"Sidi bouzid, Sidi bouzid",10000.0,2001.0,Fiat,Uno,6 février 2021,10000.0,Essence,4.0,Gris,Autres,Sidi bouzid,Sidi bouzid
"Sousse, Sahloul",193000.0,2011.0,Citroen,Jumpy,11 février 2021,15000.0,Diesel,5.0,Blanc,Utilitaire,Sousse,Sahloul
"Sfax, Sfax Ville",220000.0,2010.0,Nissan,Qashqai,17 février 2021,39000.0,Diesel,7.0,Manuelle,1.6,Sfax,Sfax Ville
"Médenine, Djerba-Houmt Souk",199.0,2010.0,Peugeot,Tepee,18 février 2021,32300.0,Diesel,6.0,Rouge,Berline,Médenine,Djerba-Houmt Souk
"Ben arous, Ezzahra",180000.0,2012.0,Citroen,C4 Picasso,20 février 2021,35000.0,Diesel,6.0,Blanc,Berline,Ben arous,Ezzahra
"Monastir, Monastir",100.0,2017.0,Nissan,Micra,13 mars 2021,26000.0,Essence,5.0,Blanc,Compacte,Monastir,Monastir
"Ariana, Autres villes",60000.0,2018.0,Renault,Kadjar,11 mars 2021,82000.0,Essence,7.0,Bleu,4 x 4,Ariana,Autres villes
"Bizerte, Sejenane",70.0,1997.0,Renault,Trafic,13 mars 2021,6800.0,Diesel,8.0,Blanc,Berline,Bizerte,Sejenane
"Ben arous, Mégrine",58000.0,2016.0,Ssangyong,Kyron,3 mars 2021,54000.0,Essence,7.0,Rouge,4 x 4,Ben arous,Mégrine
"Sfax, Autres villes",191.0,2010.0,Kia,Rio,10 mars 2021,21000.0,Essence,6.0,Noir,Autres,Sfax,Autres villes
"Nabeul, Bou Argoub",650.0,2014.0,Toyota,Hi Ace,10 février 2021,45000.0,Diesel,8.0,Jaune,Autres,Nabeul,Bou Argoub
"Mahdia, El Jem",165000.0,2016.0,Ford,Focus,6 mars 2021,39500.0,Essence,6.0,Gris,Berline,Mahdia,El Jem
"Nabeul, Autres villes",234500.0,2010.0,Citroen,Berlingo,25 février 2021,25500.0,Diesel,6.0,Blanc,Autres,Nabeul,Autres villes
"Sousse, Autres villes",0.0,1990.0,BMW,Serie 5,15 février 2021,13200.0,Diesel,7.0,Noir,Avec kilométrage,Sousse,Autres villes
"Gafsa, Autres villes",174000.0,2015.0,Fiat,Doblo,9 mars 2021,18000.0,Diesel,5.0,Blanc,Compacte,Gafsa,Autres villes
"Kairouan, Autres villes",4100.0,1983.0,Peugeot,309,11 février 2021,3000.0,Essence,5.0,Manuelle,1.5,Kairouan,Autres villes
"Tunis, Tunis",94000.0,2011.0,Peugeot,207,11 mars 2021,21000.0,Essence,11.0,Noir,Autres,Tunis,Tunis
"Tunis, Le Bardo",190.0,2016.0,Chevrolet,Spark,20 février 2021,27000.0,Essence,5.0,Blanc,Autres,Tunis,Le Bardo
"Ben arous, Autres villes",97000.0,2016.0,Hyundai,Grand i10,18 février 2021,31500.0,Essence,5.0,Gris,Berline,Ben arous,Autres villes
"Tunis, Le Bardo",80000.0,2017.0,Peugeot,Partner,7 mars 2021,1300.0,Diesel,5.0,Blanc,Utilitaire,Tunis,Le Bardo
"Sousse, Sousse",190000.0,2015.0,Citroen,Berlingo,3 mars 2021,28500.0,Diesel,6.0,Gris,Utilitaire,Sousse,Sousse
"Sousse, Kalaâ Kebira",190000.0,1994.0,Peugeot,106,5 mars 2021,7200.0,Essence,4.0,Blanc,Compacte,Sousse,Kalaâ Kebira
"Tunis, Autres villes",283000.0,2000.0,Mercedes-Benz,Classe C,25 février 2021,14000.0,Essence,9.0,Bleu,Berline,Tunis,Autres villes
"Monastir, Monastir",94000.0,2015.0,Mercedes-Benz,Classe CLA,13 mars 2021,88000.0,Diesel,6.0,Autre,Berline,Monastir,Monastir
"Zaghouan, Autres villes",200000.0,1988.0,Mercedes-Benz,210,2 mars 2021,14000.0,Diesel,8.0,Bleu,Autres,Zaghouan,Autres villes
"Médenine, Autres villes",243000.0,2003.0,BMW,Serie 3,21 février 2021,24000.0,Essence,7.0,Noir,Berline,Médenine,Autres villes
"Nabeul, Béni Khalled",240000.0,2014.0,Isuzu,D-MAX,10 février 2021,27000.0,Diesel,10.0,Blanc,Autres,Nabeul,Béni Khalled
"Sousse, Autres villes",100000.0,2010.0,Volkswagen,Caddy,27 février 2021,28000.0,Diesel,5.0,Avec kilométrage,Manuelle,Sousse,Autres villes
"Zaghouan, Zaghouan",250.0,2006.0,Volkswagen,Polo,9 mars 2021,19500.0,Essence,4.0,Blanc,Compacte,Zaghouan,Zaghouan
"Sfax, Sfax Ville",203.0,2009.0,Renault,Megane,24 février 2021,25000.0,Diesel,6.0,Doré,Avec kilométrage,Sfax,Sfax Ville
"Tunis, Autres villes",0.0,2002.0,Renault,Trafic,28 février 2021,17000.0,Diesel,6.0,Jaune,Berline,Tunis,Autres villes
"Ariana, Autres villes",150.0,2013.0,Citroen,C4,13 mars 2021,29000.0,Essence,6.0,Blanc,Berline,Ariana,Autres villes
"Sousse, Autres villes",400000.0,1988.0,Ford,Escort,25 février 2021,5000.0,Hybride,6.0,Blanc,Berline,Sousse,Autres villes
"Ben arous, Boumhel",170000.0,2015.0,Kia,Sorento,13 mars 2021,78000.0,Diesel,12.0,Orange,4 x 4,Ben arous,Boumhel
"Tunis, Cité El Khadra",290.0,2000.0,Renault,Clio,6 mars 2021,14500.0,Essence,4.0,Doré,Manuelle,Tunis,Cité El Khadra
"Sfax, Thyna",0.0,1995.0,Citroen,AX,10 mars 2021,8500.0,Essence,4.0,Blanc,Manuelle,Sfax,Thyna
"Sousse, Sousse",11111.0,1985.0,Peugeot,504,11 mars 2021,4500.0,Diesel,8.0,Gris,Compacte,Sousse,Sousse
"Monastir, Autres villes",130000.0,1998.0,Nissan,Bluebird,8 mars 2021,6200.0,Diesel,6.0,Bleu,Autres,Monastir,Autres villes
"Sfax, Autres villes",250.0,1986.0,Citroen,Visa,8 février 2021,4800.0,Essence,5.0,Vert,Berline,Sfax,Autres villes
"Gabès, Gabès",173.0,2009.0,Renault,Symbol,2 mars 2021,17800.0,Essence,5.0,Gris,Autres,Gabès,Gabès
"Tunis, Ettahrir",1111.0,1986.0,Peugeot,205,26 février 2021,4600.0,Essence,4.0,Blanc,Berline,Tunis,Ettahrir
"Tunis, Autres villes",77.0,1993.0,Toyota,Corolla,7 mars 2021,5500.0,Essence,6.0,Beige,Berline,Tunis,Autres villes
"Tunis, Autres villes",38000.0,2018.0,Suzuki,Vitara,8 février 2021,78000.0,Essence,6.0,Orange,4 x 4,Tunis,Autres villes
"Tunis, Autres villes",7262.0,1996.0,Opel,Corsa,11 février 2021,10000.0,Essence,4.0,Bleu,Manuelle,Tunis,Autres villes
"Tunis, Autres villes",250.0,2000.0,Citroen,Berlingo,7 février 2021,10500.0,Diesel,6.0,Blanc,Berline,Tunis,Autres villes
"Tunis, La Marsa",76000.0,2016.0,BMW,Serie 5,9 mars 2021,138500.0,Diesel,10.0,Bleu,Autres,Tunis,La Marsa
"Tunis, Autres villes",243.0,2008.0,Volkswagen,Golf 5,1 mars 2021,27800.0,Essence,5.0,Noir,Berline,Tunis,Autres villes
"Tunis, Autres villes",200000.0,1997.0,Citroen,Xantia,5 mars 2021,6500.0,Diesel,7.0,Manuelle,2,Tunis,Autres villes
"Gafsa, Autres villes",155.0,2007.0,Peugeot,407,12 mars 2021,25500.0,Essence,9.0,Doré,Berline,Gafsa,Autres villes
"Ariana, Autres villes",179000.0,2018.0,Suzuki,Swift,10 mars 2021,25000.0,Essence,5.0,Blanc,Autres,Ariana,Autres villes
"Ben arous, Mohamedia",90000.0,1989.0,Peugeot,405,18 février 2021,9000.0,Diesel,5.0,Noir,Autres,Ben arous,Mohamedia
"Sousse, Sousse",40000.0,2018.0,Citroen,Nemo,18 février 2021,32000.0,Diesel,5.0,Noir,Utilitaire,Sousse,Sousse
"Nabeul, Autres villes",298000.0,2002.0,BMW,Serie 3,9 mars 2021,25000.0,Diesel,8.0,Gris,Compacte,Nabeul,Autres villes
"Ariana, Ariana",197000.0,2013.0,Volkswagen,Jetta,12 mars 2021,41000.0,Diesel,7.0,Gris,Manuelle,Ariana,Ariana
"Tunis, Autres villes",190000.0,2003.0,Chrysler,PT Cruiser,26 février 2021,16500.0,Essence,9.0,Gris,Autres,Tunis,Autres villes
"Sfax, Autres villes",120000.0,2015.0,Dacia,Dokker,25 février 2021,25500.0,Diesel,5.0,Gris,Utilitaire,Sfax,Autres villes
"Ben arous, Autres villes",36000.0,2015.0,Toyota,Avensis,13 mars 2021,32000.0,Essence,6.0,Gris,Monospace,Ben arous,Autres villes
"Tunis, Autres villes",140000.0,2014.0,Fiat,Punto,14 février 2021,22800.0,Essence,4.0,Rouge,Compacte,Tunis,Autres villes
"Ben arous, Autres villes",235.0,2007.0,Renault,Clio,9 février 2021,13700.0,Essence,5.0,Vert,Avec kilométrage,Ben arous,Autres villes
"Médenine, Autres villes",285.0,2007.0,Autres,Autres,18 février 2021,30000.0,Essence,5.0,Gris,Autres,Médenine,Autres villes
"Tunis, Sidi Daoud",57500.0,2016.0,mini,One,13 mars 2021,81500.0,Essence,5.0,Rouge,Utilitaire,Tunis,Sidi Daoud
"Sousse, Sousse Riadh",217.0,2003.0,Opel,Astra,7 mars 2021,17000.0,Diesel,5.0,Bleu,Berline,Sousse,Sousse Riadh
"Kairouan, Kairouan Sud",88000.0,2017.0,Kia,Rio,13 février 2021,39000.0,Essence,5.0,Noir,Autres,Kairouan,Kairouan Sud
"Tunis, Autres villes",167000.0,2013.0,Volkswagen,Golf 7,11 février 2021,43500.0,Essence,5.0,Doré,Manuelle,Tunis,Autres villes
"Ariana, La Soukra",78900.0,2017.0,Seat,Ibiza,7 mars 2021,34400.0,Essence,5.0,Noir,Compacte,Ariana,La Soukra
"Tunis, Autres villes",57000.0,2016.0,Peugeot,Partner,10 février 2021,30000.0,Diesel,5.0,Blanc,Autres,Tunis,Autres villes
"Nabeul, Autres villes",300.0,2000.0,Volkswagen,Passat,7 février 2021,17000.0,Essence,7.0,Gris,Compacte,Nabeul,Autres villes
"Kébili, Autres villes",202.0,2010.0,Citroen,Berlingo,3 mars 2021,19700.0,Essence,6.0,Blanc,Utilitaire,Kébili,Autres villes
"Bizerte, Zarzouna",250000.0,2000.0,Citroen,Saxo,19 février 2021,11800.0,Essence,5.0,Bleu,Compacte,Bizerte,Zarzouna
"Bizerte, Mateur",300.0,1998.0,Peugeot,205,6 mars 2021,7500.0,Essence,4.0,Gris,Manuelle,Bizerte,Mateur
"Ben arous, El Mourouj",204000.0,2012.0,Dacia,Duster,12 mars 2021,33000.0,Diesel,5.0,Noir,4 x 4,Ben arous,El Mourouj
"Ben arous, El Mourouj",160000.0,2014.0,Kia,Rio,26 février 2021,32000.0,Essence,5.0,Blanc,Berline,Ben arous,El Mourouj
"Tunis, Autres villes",350.0,2007.0,Opel,Astra,9 février 2021,16000.0,Diesel,5.0,Gris,Compacte,Tunis,Autres villes
"Ben arous, El Mourouj",370000.0,2004.0,Fiat,Siena,14 février 2021,14500.0,Essence,5.0,Bleu,Berline,Ben arous,El Mourouj
"Tunis, Autres villes",170000.0,2013.0,Peugeot,Partner,9 février 2021,31000.0,Diesel,5.0,Blanc,Utilitaire,Tunis,Autres villes
"Sousse, Kantaoui",200.0,2011.0,Peugeot,508,25 février 2021,30500.0,Essence,9.0,Blanc,Berline,Sousse,Kantaoui
"Bizerte, Autres villes",250000.0,1985.0,Opel,Corsa,7 mars 2021,6800.0,Essence,5.0,Blanc,Compacte,Bizerte,Autres villes
"Mahdia, Autres villes",304000.0,2011.0,Audi,Q5,24 février 2021,95000.0,Diesel,10.0,Noir,Berline,Mahdia,Autres villes
"Ariana, Ariana Ville",314114.0,1998.0,Fiat,Uno,27 février 2021,6000.0,Essence,4.0,Noir,Autres,Ariana,Ariana Ville
"Médenine, Médenine Nord",216.0,2010.0,Volkswagen,Crafter,28 février 2021,30000.0,Diesel,8.0,Autre,Autres,Médenine,Médenine Nord
"Tunis, Autres villes",108000.0,2011.0,Fiat,Grande Punto,11 février 2021,21500.0,Essence,5.0,Gris,Compacte,Tunis,Autres villes
"Monastir, Ksibet el-Médiouni",210.0,2012.0,Renault,Symbol,21 février 2021,22500.0,Essence,5.0,Noir,Autres,Monastir,Ksibet el-Médiouni
"Tunis, Autres villes",190000.0,2015.0,Mazda,3,8 février 2021,42000.0,Essence,6.0,Manuelle,1.4,Tunis,Autres villes
"Ben arous, Medina Jedida",150.0,2013.0,Volkswagen,Polo,2 mars 2021,25800.0,Essence,5.0,Gris,Berline,Ben arous,Medina Jedida
"Tunis, Ettahrir",150000.0,2016.0,Peugeot,2008,25 février 2021,42500.0,Essence,5.0,Blanc,Autres,Tunis,Ettahrir
"Mahdia, Mahdia",83.0,2015.0,Peugeot,208,2 mars 2021,33000.0,Essence,5.0,Gris,Compacte,Mahdia,Mahdia
"Tunis, Autres villes",0.0,1982.0,Isuzu,D-MAX,25 février 2021,3300.0,Diesel,8.0,Manuelle,1.1,Tunis,Autres villes
"Tunis, Autres villes",222.0,2002.0,Mercedes-Benz,220,26 février 2021,34500.0,Diesel,34500.0,Noir,Autres,Tunis,Autres villes
"Gabès, Autres villes",142000.0,2007.0,Renault,Megane,8 février 2021,26800.0,Essence,6.0,Noir,Berline,Gabès,Autres villes
"Nabeul, Hammamet",55000.0,2019.0,UFO,RV3,6 mars 2021,46000.0,Essence,6.0,Blanc,Compacte,Nabeul,Hammamet
"Tunis, Autres villes",70000.0,2017.0,Seat,Leon,9 mars 2021,51000.0,Essence,6.0,Marron,Berline,Tunis,Autres villes
"Tunis, Autres villes",230.0,2006.0,Peugeot,407,3 mars 2021,19500.0,Essence,8.0,Gris,Utilitaire,Tunis,Autres villes
"Le kef, Kef Ouest",250000.0,2004.0,Audi,A4,8 février 2021,23800.0,Essence,7.0,Noir,Compacte,Le kef,Kef Ouest
"Kairouan, Kairouan",30000.0,2013.0,Citroen,Berlingo,23 février 2021,21000.0,Diesel,5.0,Blanc,Autres,Kairouan,Kairouan
"Ariana, Ariana Ville",51000.0,2014.0,Nissan,Qashqai,10 mars 2021,67000.0,Essence,6.0,Blanc,4 x 4,Ariana,Ariana Ville
"Tunis, Centre Ville - Lafayette",116000.0,2015.0,Volkswagen,Passat,5 mars 2021,50000.0,Essence,7.0,Noir,Autres,Tunis,Centre Ville - Lafayette
"Nabeul, Autres villes",590000.0,2011.0,Volkswagen,Polo,3 mars 2021,20500.0,Diesel,5.0,Gris,Berline,Nabeul,Autres villes
"Tunis, Autres villes",200000.0,1987.0,Peugeot,205,17 février 2021,4000.0,Essence,5.0,Blanc,Manuelle,Tunis,Autres villes
"Sfax, Autres villes",162000.0,2010.0,Volkswagen,Passat,20 février 2021,40000.0,Diesel,5.0,Noir,Avec kilométrage,Sfax,Autres villes
"Tunis, Autres villes",120000.0,2015.0,Mazda,3,24 février 2021,51000.0,Essence,6.0,Gris,Berline,Tunis,Autres villes
"Ben arous, El Mourouj",78823.0,2018.0,Mercedes-Benz,Classe GLC,17 février 2021,153000.0,Diesel,11.0,Noir,4 x 4,Ben arous,El Mourouj
"Tunis, La Marsa",43000.0,2015.0,Renault,Twingo,13 mars 2021,33500.0,Essence,4.0,Noir,Compacte,Tunis,La Marsa
"Sousse, Kantaoui",90000.0,2010.0,Kia,Sportage,17 février 2021,60000.0,Essence,11.0,Gris,4 x 4,Sousse,Kantaoui
"Sousse, Hergla",170.0,2015.0,Volkswagen,Passat,23 février 2021,67000.0,Diesel,6.0,Gris,Berline,Sousse,Hergla
"Béja, Béja",168000.0,1993.0,Mercedes-Benz,260,18 février 2021,19500.0,Essence,19.0,Noir,Berline,Béja,Béja
"Sfax, Sfax",91.0,2018.0,Hyundai,I 20,12 mars 2021,1111.0,Essence,1197.0,Noir,4 x 4,Sfax,Sfax
"Tunis, Autres villes",117000.0,2012.0,Autres,Autres,5 mars 2021,40000.0,Essence,5.0,Noir,Autres,Tunis,Autres villes
"Bizerte, Autres villes",167000.0,2014.0,Mazda,BT-50,13 mars 2021,37000.0,Diesel,8.0,Gris,4 x 4,Bizerte,Autres villes
"Sousse, Sousse Riadh",161000.0,2011.0,Fiat,Panda,10 février 2021,20000.0,Essence,4.0,Blanc,Autres,Sousse,Sousse Riadh
"Tunis, Menzah",116000.0,2012.0,BMW,Serie 3,13 mars 2021,56500.0,Essence,7.0,Noir,Berline,Tunis,Menzah
"Tunis, Autres villes",320000.0,2007.0,Citroen,Berlingo,2 mars 2021,21500.0,Diesel,21500.0,Gris,Berline,Tunis,Autres villes
